gene_id,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description
b1993,cobU,NC_000913.3,2065219,2065764,-,546,protein_coding,cobinamide-P guanylyltransferase/cobinamide kinase&&sp|P0AE77|COBU_ECO57 Bifunctional adenosylcobalamin biosynthesis protein CobU OS=Escherichia coli O157:H7 OX=83334 GN=cobU PE=3 SV=1 && PF02283:Cobinamide kinase / cobinamide phosphate guanyltransferase
Novel00324,-,NC_000913.3,4080503,4085919,+,5417,-,"PF04216:Protein involved in formate dehydrogenase formation|PF01568:Molydopterin dinucleotide binding domain|PF00384:Molybdopterin oxidoreductase|PF01292:Prokaryotic cytochrome b561|PF09163:Formate dehydrogenase N, transmembrane|PF13247:4Fe-4S dicluster domain"
b0831,gsiC,NC_000913.3,870967,871887,+,921,protein_coding,glutathione ABC transporter membrane subunit GsiC&&sp|A1A970|GSIC_ECOK1 Glutathione transport system permease protein GsiC OS=Escherichia coli O1:K1 / APEC OX=405955 GN=gsiC PE=3 SV=1 && PF00528:Binding-protein-dependent transport system inner membrane component
b3571,malS,NC_000913.3,3737497,3739527,+,2031,protein_coding,"alpha-amylase&&sp|P25718|AMY1_ECOLI Periplasmic alpha-amylase OS=Escherichia coli (strain K12) OX=83333 GN=malS PE=1 SV=1 && PF00128:Alpha amylase, catalytic domain"
b1024,pgaA,NC_000913.3,1089866,1092289,-,2424,protein_coding,"partially deacetylated poly-beta-1%2C6-N-acetyl-D-glucosamine export outer membrane porin&&sp|P69435|PGAA_ECO57 Poly-beta-1,6-N-acetyl-D-glucosamine export protein OS=Escherichia coli O157:H7 OX=83334 GN=pgaA PE=3 SV=1 && -"
b4475,rtcA,NC_000913.3,3555833,3556849,-,1017,protein_coding,"RNA 3'-terminal phosphate cyclase&&sp|C4ZVX1|RTCA_ECOBW RNA 3'-terminal phosphate cyclase OS=Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496 GN=rtcA PE=3 SV=1 && PF05189:RNA 3'-terminal phosphate cyclase (RTC), insert domain|PF01137:RNA 3'-terminal phosphate cyclase"
b2575,yfiC,NC_000913.3,2712027,2712764,-,738,protein_coding,tRNA m(6)A37 methyltransferase&&sp|C5W7S9|TRMN6_ECOBD tRNA1(Val) (adenine(37)-N6)-methyltransferase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=yfiC PE=3 SV=1 && PF05175:Methyltransferase small domain
b1758,ynjF,NC_000913.3,1840783,1841403,-,621,protein_coding,CDP-alcohol phosphatidyltransferase domain-containing protein YnjF&&sp|P76226|YNJF_ECOLI Inner membrane protein YnjF OS=Escherichia coli (strain K12) OX=83333 GN=ynjF PE=1 SV=2 && PF01066:CDP-alcohol phosphatidyltransferase
b0147,thpR,NC_000913.3,161501,162031,-,531,protein_coding,"RNA 2'%2C3'-cyclic phosphodiesterase&&sp|P37025|THPR_ECOLI RNA 2',3'-cyclic phosphodiesterase OS=Escherichia coli (strain K12) OX=83333 GN=thpR PE=1 SV=3 && PF02834:LigT like Phosphoesterase"
b4487,yjdP,NC_000913.3,4313868,4314197,+,330,protein_coding,protein YjdP&&sp|Q8FAW3|YJDP_ECOL6 Uncharacterized protein YjdP OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=yjdP PE=3 SV=1 && -
b0266,yagB,NC_000913.3,280385,280735,-,351,protein_coding,"orphan antitoxin YagB&&sp|P37008|YAGB_ECOLI Orphan antitoxin YagB OS=Escherichia coli (strain K12) OX=83333 GN=yagB PE=3 SV=2 && PF06154:CbeA_antitoxin, type IV, cytoskeleton bundling-enhancing factor A"
b1833,letA,NC_000913.3,1916258,1917541,+,1284,protein_coding,intermembrane transport protein LetA&&sp|P0AD04|YEBS_ECO57 Intermembrane transport protein YebS OS=Escherichia coli O157:H7 OX=83334 GN=yebS PE=3 SV=1 && PF04403:Paraquat-inducible protein A
b0394,mak,NC_000913.3,410144,411052,+,909,protein_coding,fructokinase&&sp|P23917|MAK_ECOLI Fructokinase OS=Escherichia coli (strain K12) OX=83333 GN=mak PE=1 SV=2 && PF00480:ROK family
b2238,yfaH,NC_000913.3,2349687,2349893,+,207,protein_coding,--&&sp|P45505|YFAH_ECOLI Putative protein YfaH OS=Escherichia coli (strain K12) OX=83333 GN=yfaH PE=5 SV=1 && -
Novel00139,-,NC_000913.3,1907176,1907665,+,490,-,PF00313:'Cold-shock' DNA-binding domain|PF10736:Protein of unknown function (DUF2627)
b1906,yecH,NC_000913.3,1989251,1989490,-,240,protein_coding,DUF2492 domain-containing protein YecH&&sp|P46887|YECH_ECOLI Uncharacterized protein YecH OS=Escherichia coli (strain K12) OX=83333 GN=yecH PE=4 SV=2 && PF10678:Protein of unknown function (DUF2492)
Novel00011,-,NC_000913.3,105830,108068,-,2239,-,"PF12327:FtsZ family, C-terminal domain|PF03331:UDP-3-O-acyl N-acetylglycosamine deacetylase|PF06558:Secretion monitor precursor protein (SecM)"
b0846,rcdA,NC_000913.3,887423,887959,+,537,protein_coding,"RcdA&&sp|P75811|RCDA_ECOLI HTH-type transcriptional regulator RcdA OS=Escherichia coli (strain K12) OX=83333 GN=rcdA PE=1 SV=3 && PF00440:Bacterial regulatory proteins, tetR family"
b1508,hipB,NC_000913.3,1592176,1592442,-,267,protein_coding,antitoxin/DNA-binding transcriptional repressor HipB&&sp|P23873|HIPB_ECOLI Antitoxin HipB OS=Escherichia coli (strain K12) OX=83333 GN=hipB PE=1 SV=1 && PF01381:Helix-turn-helix
b3249,mreD,NC_000913.3,3398387,3398875,-,489,protein_coding,cell shape determining protein MreD&&sp|P0ABH6|MRED_ECO57 Rod shape-determining protein MreD OS=Escherichia coli O157:H7 OX=83334 GN=mreD PE=3 SV=1 && PF04093:rod shape-determining protein MreD
b1511,lsrK,NC_000913.3,1598617,1600209,-,1593,protein_coding,"autoinducer-2 kinase&&sp|B1XE99|LSRK_ECODH Autoinducer-2 kinase OS=Escherichia coli (strain K12 / DH10B) OX=316385 GN=lsrK PE=3 SV=1 && PF00370:FGGY family of carbohydrate kinases, N-terminal domain|PF02782:FGGY family of carbohydrate kinases, C-terminal domain"
b0231,dinB,NC_000913.3,250898,251953,+,1056,protein_coding,DNA polymerase IV&&sp|B1J100|DPO4_ECOLC DNA polymerase IV OS=Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks) OX=481805 GN=dinB PE=3 SV=1 && PF11798:IMS family HHH motif|PF00817:impB/mucB/samB family|PF11799:impB/mucB/samB family C-terminal domain
b3058,folB,NC_000913.3,3204221,3204589,-,369,protein_coding,dihydroneopterin aldolase&&sp|P0AC17|FOLB_ECOL6 Dihydroneopterin aldolase OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=folB PE=3 SV=1 && PF02152:Dihydroneopterin aldolase
b3795,yifK,NC_000913.3,3980887,3982272,+,1386,protein_coding,putative transporter YifK&&sp|P27837|YIFK_ECOLI Probable transport protein YifK OS=Escherichia coli (strain K12) OX=83333 GN=yifK PE=1 SV=4 && PF00324:Amino acid permease
b1069,murJ,NC_000913.3,1127839,1129374,+,1536,protein_coding,lipid II flippase MurJ&&sp|P0AF17|MURJ_ECO57 Probable lipid II flippase MurJ OS=Escherichia coli O157:H7 OX=83334 GN=murJ PE=3 SV=1 && PF03023:Lipid II flippase MurJ
b0837,yliI,NC_000913.3,878742,879857,+,1116,protein_coding,aldose sugar dehydrogenase YliI&&sp|P75804|YLII_ECOLI Aldose sugar dehydrogenase YliI OS=Escherichia coli (strain K12) OX=83333 GN=yliI PE=1 SV=1 && PF07995:Glucose / Sorbosone dehydrogenase
Novel00284,-,NC_000913.3,3630405,3630612,+,208,-,-
b0398,sbcD,NC_000913.3,415750,416952,-,1203,protein_coding,ATP-dependent structure-specific DNA nuclease - SbcD subunit&&sp|P0AG77|SBCD_ECO57 Nuclease SbcCD subunit D OS=Escherichia coli O157:H7 OX=83334 GN=sbcD PE=3 SV=1 && PF12320:Type 5 capsule protein repressor C-terminal domain|PF00149:Calcineurin-like phosphoesterase
b1770,ydjF,NC_000913.3,1854096,1854854,-,759,protein_coding,putative DNA-binding transcriptional regulator YdjF&&sp|P77721|YDJF_ECOLI Uncharacterized HTH-type transcriptional regulator YdjF OS=Escherichia coli (strain K12) OX=83333 GN=ydjF PE=1 SV=1 && PF00455:DeoR C terminal sensor domain|PF08220:DeoR-like helix-turn-helix domain
b0879,macB,NC_000913.3,920347,922293,+,1947,protein_coding,ABC-type tripartite efflux pump ATP binding/membrane subunit&&sp|P75831|MACB_ECOLI Macrolide export ATP-binding/permease protein MacB OS=Escherichia coli (strain K12) OX=83333 GN=macB PE=1 SV=1 && PF00005:ABC transporter|PF12704:MacB-like periplasmic core domain|PF02687:FtsX-like permease family
b1507,hipA,NC_000913.3,1590854,1592176,-,1323,protein_coding,serine/threonine-protein kinase toxin HipA&&sp|P23874|HIPA_ECOLI Serine/threonine-protein kinase toxin HipA OS=Escherichia coli (strain K12) OX=83333 GN=hipA PE=1 SV=2 && PF07804:HipA-like C-terminal domain|PF13657:HipA N-terminal domain
b3792,wzxE,NC_000913.3,3976278,3977528,+,1251,protein_coding,lipid IIIECA flippase&&sp|P0AAA7|WZXE_ECOLI Lipid III flippase OS=Escherichia coli (strain K12) OX=83333 GN=wzxE PE=1 SV=1 && PF01943:Polysaccharide biosynthesis protein
b2184,radD,NC_000913.3,2280632,2282392,+,1761,protein_coding,"putative DNA repair helicase RadD&&sp|P33919|RADD_ECOLI Putative DNA repair helicase RadD OS=Escherichia coli (strain K12) OX=83333 GN=radD PE=1 SV=2 && PF04851:Type III restriction enzyme, res subunit|PF00271:Helicase conserved C-terminal domain"
b3008,metC,NC_000913.3,3152236,3153423,+,1188,protein_coding,cystathionine beta-lyase/L-cysteine desulfhydrase/alanine racemase&&sp|P06721|METC_ECOLI Cystathionine beta-lyase MetC OS=Escherichia coli (strain K12) OX=83333 GN=metC PE=1 SV=1 && PF01053:Cys/Met metabolism PLP-dependent enzyme
Novel00329,-,NC_000913.3,4128093,4128330,+,238,-,"PF01340:Met Apo-repressor, MetJ"
b1599,mdtI,NC_000913.3,1672820,1673149,-,330,protein_coding,multidrug/spermidine efflux pump membrane subunit MdtI&&sp|A7ZM58|MDTI_ECO24 Spermidine export protein MdtI OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=mdtI PE=3 SV=1 && PF00893:Small Multidrug Resistance protein
b0869,ybjT,NC_000913.3,906852,908282,-,1431,protein_coding,putative NAD(P)-binding protein YbjT&&sp|P75822|YBJT_ECOLI Putative NAD(P)-binding protein YbjT OS=Escherichia coli (strain K12) OX=83333 GN=ybjT PE=3 SV=2 && PF11066:Protein of unknown function (DUF2867)|PF13460:NAD(P)H-binding
Novel00112,-,NC_000913.3,1435199,1435611,+,413,-,PF00582:Universal stress protein family
b2554,glrR,NC_000913.3,2687469,2688803,-,1335,protein_coding,DNA-binding transcriptional activator GlrR&&sp|P0AFU4|GLRR_ECOLI Transcriptional regulatory protein GlrR OS=Escherichia coli (strain K12) OX=83333 GN=glrR PE=1 SV=1 && PF00072:Response regulator receiver domain|PF00158:Sigma-54 interaction domain
b0130,yadE,NC_000913.3,145081,146310,+,1230,protein_coding,putative polysaccharide deacetylase lipoprotein YadE&&sp|P31666|YADE_ECOLI Uncharacterized protein YadE OS=Escherichia coli (strain K12) OX=83333 GN=yadE PE=3 SV=2 && PF01522:Polysaccharide deacetylase
Novel00289,-,NC_000913.3,3703398,3703550,+,153,-,-
b1750,ydjX,NC_000913.3,1833401,1834111,+,711,protein_coding,DedA family protein YdjX&&sp|P76219|YDJX_ECOLI TVP38/TMEM64 family membrane protein YdjX OS=Escherichia coli (strain K12) OX=83333 GN=ydjX PE=3 SV=2 && PF09335:SNARE associated Golgi protein
b4802,ythB,NC_000913.3,4536597,4536695,+,99,protein_coding,protein YthB&&sp|P0DSI0|YTHB_ECOLI Protein YthB OS=Escherichia coli (strain K12) OX=83333 GN=ythB PE=1 SV=1 && -
b0950,pqiA,NC_000913.3,1012001,1013254,+,1254,protein_coding,intermembrane transport protein PqiA&&sp|P0AFM0|PQIA_ECOL6 Intermembrane transport protein PqiA OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=pqiA PE=3 SV=1 && PF04403:Paraquat-inducible protein A
b3624,waaZ,NC_000913.3,3799345,3800196,-,852,protein_coding,lipopolysaccharide core biosynthesis protein WaaZ&&sp|P27241|RFAZ_ECOLI Lipopolysaccharide core biosynthesis protein RfaZ OS=Escherichia coli (strain K12) OX=83333 GN=rfaZ PE=4 SV=2 && -
b2350,yfdG,NC_000913.3,2467855,2468217,+,363,protein_coding,putative bactoprenol-linked glucose translocase&&sp|P77682|GTRA_ECOLI Prophage bactoprenol-linked glucose translocase homolog OS=Escherichia coli (strain K12) OX=83333 GN=yfdG PE=1 SV=1 && PF04138:GtrA-like protein
b3551,bisC,NC_000913.3,3714061,3716394,-,2334,protein_coding,biotin sulfoxide reductase&&sp|P20099|BISC_ECOLI Biotin sulfoxide reductase OS=Escherichia coli (strain K12) OX=83333 GN=bisC PE=1 SV=3 && PF00384:Molybdopterin oxidoreductase|PF18364:Molybdopterin oxidoreductase N-terminal domain|PF01568:Molydopterin dinucleotide binding domain
Novel00363,-,NC_000913.3,4586434,4586553,+,120,-,-
Novel00311,-,NC_000913.3,3936630,3937834,-,1205,-,PF00294:pfkB family carbohydrate kinase|PF13407:Periplasmic binding protein domain
Novel00033,-,NC_000913.3,389403,389574,+,172,-,-
Novel00136,-,NC_000913.3,1890252,1890339,+,88,-,-
b1952,dsrB,NC_000913.3,2024635,2024823,-,189,protein_coding,protein DsrB&&sp|A7ZN75|DSRB_ECO24 Protein DsrB OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=dsrB PE=3 SV=1 && PF10781:Dextransucrase DSRB
Novel00328,-,NC_000913.3,4120449,4122276,+,1828,-,PF07724:AAA domain (Cdc48 subfamily)|PF00227:Proteasome subunit
b1195,ymgE,NC_000913.3,1244728,1244982,+,255,protein_coding,PF04226 family protein YmgE&&sp|P76011|YMGE_ECOLI UPF0410 protein YmgE OS=Escherichia coli (strain K12) OX=83333 GN=ymgE PE=3 SV=3 && PF04226:Transglycosylase associated protein
b0746,valZ,NC_000913.3,781068,781143,+,76,protein_coding,tRNA-Val&&-- && -
b4385,yjjJ,NC_000913.3,4621769,4623100,+,1332,protein_coding,toxin YjjJ&&sp|P39410|YJJJ_ECOLI Toxin YjjJ OS=Escherichia coli (strain K12) OX=83333 GN=yjjJ PE=1 SV=1 && PF07804:HipA-like C-terminal domain
b4449,sraG,NC_000913.3,3311183,3311398,+,216,protein_coding,small regulatory RNA SraG&&-- && -
Novel00211,-,NC_000913.3,2842629,2842955,+,327,-,PF01750:Hydrogenase maturation protease
b4641,yoeH,NC_000913.3,2068261,2068419,-,159,protein_coding,--&&-- && -
Novel00113,-,NC_000913.3,1490117,1490719,+,603,-,"PF02800:Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain|PF00044:Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain"
b3427,yzgL,NC_000913.3,3563724,3564005,-,282,protein_coding,putative uncharacterized protein YzgL&&sp|P76692|YZGL_ECOLI Protein YzgL OS=Escherichia coli (strain K12) OX=83333 GN=yzgL PE=4 SV=2 && -
b1382,ynbE,NC_000913.3,1445687,1445872,+,186,protein_coding,lipoprotein YnbE&&sp|P64449|YNBE_ECOL6 Uncharacterized protein YnbE OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=ynbE PE=4 SV=1 && PF13617:YnbE-like lipoprotein
b0244,thrW,NC_000913.3,262871,262946,+,76,protein_coding,tRNA-Thr&&-- && -
b1297,puuA,NC_000913.3,1359490,1360908,-,1419,protein_coding,"glutamate-putrescine ligase&&sp|P78061|PUUA_ECOLI Gamma-glutamylputrescine synthetase PuuA OS=Escherichia coli (strain K12) OX=83333 GN=puuA PE=1 SV=2 && PF00120:Glutamine synthetase, catalytic domain"
b3778,rep,NC_000913.3,3960677,3962698,+,2022,protein_coding,ATP-dependent DNA helicase Rep&&sp|P09980|REP_ECOLI ATP-dependent DNA helicase Rep OS=Escherichia coli (strain K12) OX=83333 GN=rep PE=1 SV=3 && PF13361:UvrD-like helicase C-terminal domain|PF00580:UvrD/REP helicase N-terminal domain
b3700,recF,NC_000913.3,3880148,3881221,-,1074,protein_coding,recombination mediator protein RecF&&sp|A7ZTQ6|RECF_ECO24 DNA replication and repair protein RecF OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=recF PE=3 SV=1 && PF02463:RecF/RecN/SMC N terminal domain
Novel00207,-,NC_000913.3,2796395,2796785,+,391,-,PF04972:BON domain
b3524,yhjG,NC_000913.3,3676290,3678350,-,2061,protein_coding,AsmA family protein YhjG&&sp|P37645|YHJG_ECOLI AsmA family protein YhjG OS=Escherichia coli (strain K12) OX=83333 GN=yhjG PE=3 SV=3 && PF05170:AsmA family
b0868,ybjS,NC_000913.3,905740,906753,-,1014,protein_coding,putative epimerase YbjS&&sp|P75821|YBJS_ECOLI Uncharacterized protein YbjS OS=Escherichia coli (strain K12) OX=83333 GN=ybjS PE=3 SV=2 && PF01370:NAD dependent epimerase/dehydratase family
b0750,nadA,NC_000913.3,782085,783128,+,1044,protein_coding,quinolinate synthase&&sp|C4ZXS1|NADA_ECOBW Quinolinate synthase A OS=Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496 GN=nadA PE=3 SV=1 && PF02445:Quinolinate synthetase A protein
b0715,abrB,NC_000913.3,746723,747769,-,1047,protein_coding,putative regulator&&sp|P75747|ABRB_ECOLI Putative regulator AbrB OS=Escherichia coli (strain K12) OX=83333 GN=abrB PE=3 SV=2 && PF05145:Transition state regulatory protein AbrB
Novel00310,-,NC_000913.3,3915546,3921936,+,6391,-,"PF00306:ATP synthase alpha/beta chain, C terminal domain|PF02874:ATP synthase alpha/beta family, beta-barrel domain|PF00006:ATP synthase alpha/beta family, nucleotide-binding domain|PF00231:ATP synthase|PF00119:ATP synthase A chain"
b0803,ybiI,NC_000913.3,838190,838456,-,267,protein_coding,zinc finger domain-containing protein YbiI&&sp|P41039|YBII_ECOLI Uncharacterized protein YbiI OS=Escherichia coli (strain K12) OX=83333 GN=ybiI PE=1 SV=1 && PF01258:Prokaryotic dksA/traR C4-type zinc finger
b3819,rarD,NC_000913.3,4003288,4004178,-,891,protein_coding,putative transporter RarD&&sp|P27844|RARD_ECOLI Protein RarD OS=Escherichia coli (strain K12) OX=83333 GN=rarD PE=1 SV=2 && PF00892:EamA-like transporter family
b3693,dgoK,NC_000913.3,3873596,3874474,-,879,protein_coding,2-dehydro-3-deoxygalactonokinase&&sp|P31459|DGOK_ECOLI 2-dehydro-3-deoxygalactonokinase OS=Escherichia coli (strain K12) OX=83333 GN=dgoK PE=3 SV=1 && PF05035:2-keto-3-deoxy-galactonokinase
Novel00340,-,NC_000913.3,4285491,4286691,+,1201,-,PF13193:AMP-binding enzyme C-terminal domain|PF00501:AMP-binding enzyme
Novel00091,-,NC_000913.3,1085491,1085659,-,169,-,PF02562:PhoH-like protein
b1798,leuE,NC_000913.3,1880121,1880759,-,639,protein_coding,leucine exporter&&sp|A8A0Z3|LEUE_ECOHS Leucine efflux protein OS=Escherichia coli O9:H4 (strain HS) OX=331112 GN=leuE PE=3 SV=1 && PF01810:LysE type translocator
b2180,yejF,NC_000913.3,2276300,2277889,+,1590,protein_coding,putative oligopeptide ABC transporter ATP binding subunit YejF&&sp|P33916|YEJF_ECOLI Uncharacterized ABC transporter ATP-binding protein YejF OS=Escherichia coli (strain K12) OX=83333 GN=yejF PE=1 SV=1 && PF00005:ABC transporter
Novel00303,-,NC_000913.3,3884795,3885193,-,399,-,PF01809:Putative membrane protein insertion efficiency factor
Novel00121,-,NC_000913.3,1725223,1725464,+,242,-,PF00248:Aldo/keto reductase family
Novel00252,-,NC_000913.3,3272492,3272618,+,127,-,-
Novel00105,-,NC_000913.3,1295422,1298115,+,2694,-,PF00171:Aldehyde dehydrogenase family|PF00465:Iron-containing alcohol dehydrogenase
b4210,ytfF,NC_000913.3,4432091,4433056,-,966,protein_coding,inner membrane protein YtfF&&sp|P39314|YTFF_ECOLI Inner membrane protein YtfF OS=Escherichia coli (strain K12) OX=83333 GN=ytfF PE=1 SV=2 && PF00892:EamA-like transporter family
b1956,dgcQ,NC_000913.3,2026323,2028017,-,1695,protein_coding,"diguanylate cyclase DgcQ&&sp|P76330|DGCQ_ECOLI Probable diguanylate cyclase DgcQ OS=Escherichia coli (strain K12) OX=83333 GN=dgcQ PE=2 SV=2 && PF17151:Periplasmic sensor domain|PF00990:Diguanylate cyclase, GGDEF domain"
b0199,metN,NC_000913.3,221614,222645,-,1032,protein_coding,L-methionine/D-methionine ABC transporter ATP binding subunit&&sp|P30750|METN_ECOLI Methionine import ATP-binding protein MetN OS=Escherichia coli (strain K12) OX=83333 GN=metN PE=1 SV=4 && PF09383:NIL domain|PF00005:ABC transporter
b3939,metB,NC_000913.3,4128672,4129832,+,1161,protein_coding,O-succinylhomoserine(thiol)-lyase/O-succinylhomoserine lyase&&sp|P00935|METB_ECOLI Cystathionine gamma-synthase OS=Escherichia coli (strain K12) OX=83333 GN=metB PE=1 SV=1 && PF01053:Cys/Met metabolism PLP-dependent enzyme
b3606,trmL,NC_000913.3,3781215,3781688,+,474,protein_coding,tRNA (cytidine/uridine-2'-O)-ribose methyltransferase&&sp|P0AGJ8|TRML_ECOL6 tRNA (cytidine(34)-2'-O)-methyltransferase OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=trmL PE=3 SV=1 && PF00588:SpoU rRNA Methylase family
b2160,yeiI,NC_000913.3,2251700,2252788,+,1089,protein_coding,putative sugar kinase YeiI&&sp|P33020|YEII_ECOLI Uncharacterized sugar kinase YeiI OS=Escherichia coli (strain K12) OX=83333 GN=yeiI PE=3 SV=2 && PF00294:pfkB family carbohydrate kinase|PF13412:Winged helix-turn-helix DNA-binding
b1735,chbR,NC_000913.3,1818605,1819447,-,843,protein_coding,ChbR&&sp|P17410|CHBR_ECOLI HTH-type transcriptional regulator ChbR OS=Escherichia coli (strain K12) OX=83333 GN=chbR PE=1 SV=1 && PF12833:Helix-turn-helix domain|PF07883:Cupin domain
sRNA00004,-,NC_000913.3,673553,673630,+,78,-,-
b4297,yjhG,NC_000913.3,4522127,4524094,-,1968,protein_coding,D-xylonate dehydratase&&sp|P39358|YJHG_ECOLI D-xylonate dehydratase YjhG OS=Escherichia coli (strain K12) OX=83333 GN=yjhG PE=1 SV=2 && PF00920:Dehydratase family
b2561,yfhH,NC_000913.3,2698759,2699607,+,849,protein_coding,"putative DNA-binding transcriptional regulator YfhH&&sp|P37767|YFHH_ECOLI Uncharacterized HTH-type transcriptional regulator YfhH OS=Escherichia coli (strain K12) OX=83333 GN=yfhH PE=4 SV=2 && PF01418:Helix-turn-helix domain, rpiR family|PF01380:SIS domain"
b0047,kefC,NC_000913.3,47769,49631,+,1863,protein_coding,K(+) : H(+) antiporter KefC&&sp|C4ZPX3|KEFC_ECOBW Glutathione-regulated potassium-efflux system protein KefC OS=Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496 GN=kefC PE=3 SV=1 && PF00999:Sodium/hydrogen exchanger family|PF02254:TrkA-N domain
Novel00196,-,NC_000913.3,2707948,2708109,+,162,-,PF17188:MucB/RseB C-terminal domain
b1290,sapF,NC_000913.3,1351828,1352634,-,807,protein_coding,putrescine ABC exporter ATP binding protein SapF&&sp|P0AAH9|SAPF_ECOL6 Peptide transport system ATP-binding protein SapF OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=sapF PE=3 SV=1 && PF00005:ABC transporter
b2067,dgcE,NC_000913.3,2143266,2146583,+,3318,protein_coding,"putative diguanylate cyclase DgcE&&sp|P38097|DGCE_ECOLI Probable diguanylate cyclase DgcE OS=Escherichia coli (strain K12) OX=83333 GN=dgcE PE=2 SV=2 && PF05231:MASE1|PF00563:EAL domain|PF08448:PAS fold|PF00990:Diguanylate cyclase, GGDEF domain|PF13426:PAS domain|PF08447:PAS fold"
b4778,yecV,NC_000913.3,1961837,1961881,-,45,protein_coding,protein YecV&&-- && -
Novel00297,-,NC_000913.3,3790416,3792529,+,2114,-,PF00155:Aminotransferase class I and II|PF08240:Alcohol dehydrogenase GroES-like domain|PF00107:Zinc-binding dehydrogenase
b0634,mrdB,NC_000913.3,665201,666313,-,1113,protein_coding,peptidoglycan glycosyltransferase MrdB&&sp|P0ABG8|RODA_ECO57 Peptidoglycan glycosyltransferase MrdB OS=Escherichia coli O157:H7 OX=83334 GN=mrdB PE=3 SV=1 && PF01098:Cell cycle protein
b4402,yjjY,NC_000913.3,4640402,4640542,+,141,protein_coding,uncharacterized protein YjjY&&sp|P0ADE0|YJJY_ECO57 Uncharacterized protein YjjY OS=Escherichia coli O157:H7 OX=83334 GN=yjjY PE=4 SV=1 && -
b0276,yagJ,NC_000913.3,291500,292231,+,732,protein_coding,protein YagJ&&sp|P77169|YAGJ_ECOLI Protein YagJ OS=Escherichia coli (strain K12) OX=83333 GN=yagJ PE=4 SV=1 && -
b3872,yihL,NC_000913.3,4060447,4061157,+,711,protein_coding,"putative DNA-binding transcriptional regulator YihL&&sp|P0ACN0|YIHL_ECO57 Uncharacterized HTH-type transcriptional regulator YihL OS=Escherichia coli O157:H7 OX=83334 GN=yihL PE=4 SV=1 && PF07702:UTRA domain|PF00392:Bacterial regulatory proteins, gntR family"
b1106,thiK,NC_000913.3,1163260,1164084,+,825,protein_coding,thiamine kinase&&sp|C4ZS46|THIK_ECOBW Thiamine kinase OS=Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496 GN=thiK PE=3 SV=1 && PF01636:Phosphotransferase enzyme family
b3535,yhjR,NC_000913.3,3695997,3696185,-,189,protein_coding,PF10945 family protein YhjR&&sp|P0ADJ3|YHJR_ECOLI Protein YhjR OS=Escherichia coli (strain K12) OX=83333 GN=yhjR PE=2 SV=1 && PF10945:Cellulose biosynthesis protein BcsR
b0515,allE,NC_000913.3,543261,544046,-,786,protein_coding,(S)-ureidoglycine aminohydrolase&&sp|P75713|ALLE_ECOLI (S)-ureidoglycine aminohydrolase OS=Escherichia coli (strain K12) OX=83333 GN=allE PE=1 SV=1 && PF07883:Cupin domain|PF05899:Protein of unknown function (DUF861)
Novel00299,-,NC_000913.3,3811285,3811942,+,658,-,PF00471:Ribosomal protein L33|PF00830:Ribosomal L28 family
b0350,mhpD,NC_000913.3,372115,372924,+,810,protein_coding,2-hydroxypentadienoate hydratase&&sp|P77608|MHPD_ECOLI 2-keto-4-pentenoate hydratase OS=Escherichia coli (strain K12) OX=83333 GN=mhpD PE=1 SV=2 && PF01557:Fumarylacetoacetate (FAA) hydrolase family
b3471,yhhQ,NC_000913.3,3609217,3609882,+,666,protein_coding,queuosine precursor transporter&&sp|P37619|QPTR_ECOLI Queuosine precursor transporter OS=Escherichia coli (strain K12) OX=83333 GN=yhhQ PE=1 SV=1 && PF02592:Putative vitamin uptake transporter
b4732,ykiD,NC_000913.3,408947,409030,+,84,protein_coding,protein YkiD&&sp|P0DPN2|YKID_ECOLI Protein YkiD OS=Escherichia coli (strain K12) OX=83333 GN=ykiD PE=1 SV=1 && -
